"cname","uid","uid_size_bytes","uid_size_gigabytes"
"www.datos.gov.co","mqxs-6dr4","524,288","0.00048828125"
"www.datos.gov.co","qckz-5tg9","524,288","0.00048828125"
"www.datos.gov.co","tkn2-7v7s","524,288","0.00048828125"
"www.datos.gov.co","ha48-fzpb","524,288","0.00048828125"
"www.datos.gov.co","835x-ke7y","524,288","0.00048828125"
"www.datos.gov.co","mknn-brbt","524,288","0.00048828125"
"www.datos.gov.co","g4ch-dnpp","524,288","0.00048828125"
"www.datos.gov.co","bn7w-pn3s","524,288","0.00048828125"
"www.datos.gov.co","q26c-erme","524,288","0.00048828125"
"www.datos.gov.co","fjt4-kubw","524,288","0.00048828125"
"www.datos.gov.co","2zuy-puhk","524,288","0.00048828125"
"www.datos.gov.co","9ivh-4tgp","524,288","0.00048828125"
"www.datos.gov.co","avxz-syuj","524,288","0.00048828125"
"www.datos.gov.co","iepu-xtme","524,288","0.00048828125"
